照明	小夜灯	换气	沐浴	沐浴摆风	吹风	吹风摆风	风暖1	风暖2	风暖摆风	干燥	干燥摆风	1#	2#	3#	4#	5#	6#	7#	8#	9#	10#	11#	12#	13#	14#	15#	16#	17#	18#	19#	20#	21#	22#	23#	24#	25#	26#	27#				
1	0	1	0	0	0	0	0	1	1	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-2T	1T	-1T	1T	-1T	2T	-4T	1T	-2T	1T	-1T	1T	-2T	1T	-1T	3T	-1T	190T	
1	0	1	0	0	0	0	0	1	1	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-2T	1T	-1T	1T	-1T	2T	-4T	1T	-4T	1T	-2T	1T	-1T	190T					
1	0	1	0	0	0	0	0	1	1	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-2T	1T	-1T	1T	-1T	2T	-4T	1T	-1T	2T	-1T	1T	-2T	1T	-1T	2T	-2T	190T	
1	0	1	0	0	0	0	0	1	1	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-2T	1T	-1T	1T	-1T	2T	-4T	1T	-1T	1T	-2T	1T	-2T	1T	-1T	2T	-1T	190T	
0	1	1	0	0	0	0	0	1	1	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-2T	1T	-1T	1T	-2T	1T	-1T	1T	-5T	1T	-1T	1T	-1T	1T	-5T	1T	-1T	190T	
0	1	1	0	0	0	0	0	1	1	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-2T	1T	-1T	1T	-2T	1T	-1T	1T	-7T	1T	-1T	1T	-6T	190T					
0	1	1	0	0	0	0	0	1	1	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-2T	1T	-1T	1T	-2T	1T	-1T	1T	-4T	1T	-2T	1T	-1T	1T	-4T	2T	-1T	190T	
0	1	1	0	0	0	0	0	1	1	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-2T	1T	-1T	1T	-2T	1T	-1T	1T	-4T	2T	-1T	1T	-1T	1T	-4T	1T	-2T	190T	
0	0	1	0	0	0	0	0	1	1	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-2T	1T	-1T	1T	-2T	1T	-4T	1T	-1T	1T	-2T	1T	-2T	1T	-1T	2T	-1T	1T	-1T
0	0	1	0	0	0	0	0	1	1	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-2T	1T	-1T	1T	-2T	1T	-4T	1T	-1T	2T	-1T	1T	-2T	1T	-1T	2T	-3T	190T	
0	0	1	0	0	0	0	1	0	1	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-2T	1T	-2T	1T	-1T	1T	-4T	1T	-2T	1T	-1T	1T	-2T	1T	-1T	2T	-3T	190T	
0	0	1	0	0	0	0	1	0	1	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-2T	1T	-2T	1T	-1T	1T	-4T	1T	-4T	1T	-2T	1T	-1T	2T	-1T	1T	-1T	190T	
1	0	1	0	0	0	0	1	0	1	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-2T	1T	-2T	3T	-4T	1T	-2T	1T	-1T	1T	-2T	1T	-1T	2T	-2T	190T			
1	0	1	0	0	1	1	0	0	0	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-2T	2T	-2T	2T	-4T	1T	-2T	1T	-1T	1T	-2T	1T	-1T	1T	-2T	190T			
1	0	1	0	0	0	0	1	0	1	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-2T	1T	-2T	3T	-4T	1T	-4T	1T	-2T	1T	-1T	2T	-1T	190T					
1	0	1	0	0	1	1	0	0	0	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-2T	2T	-2T	2T	-4T	1T	-4T	1T	-2T	1T	-1T	1T	-4T	190T					
0	1	1	0	0	1	1	0	0	0	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-2T	2T	-3T	1T	-1T	1T	-4T	1T	-2T	1T	-1T	1T	-3T	3T	-1T	190T			
0	1	1	0	0	1	1	0	0	0	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-2T	2T	-3T	1T	-1T	1T	-4T	2T	-1T	1T	-1T	1T	-3T	2T	-2T	190T			
0	0	0	0	0	1	1	0	0	0	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-3T	1T	-3T	1T	-4T	1T	-2T	1T	-1T	1T	-2T	1T	-2T	1T	-1T	1T	-1T	190T	
0	0	0	0	0	1	1	0	0	0	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-3T	1T	-3T	1T	-4T	1T	-4T	1T	-2T	1T	-2T	1T	-2T	190T					
1	0	0	0	0	0	0	0	1	1	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-4T	1T	-1T	2T	-4T	1T	-1T	2T	-1T	1T	-2T	1T	-3T	1T	-1T	190T			
1	0	0	0	0	0	0	0	1	1	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-4T	1T	-1T	2T	-4T	1T	-1T	1T	-2T	1T	-2T	1T	-3T	190T					
0	0	0	0	0	0	0	0	1	1	0	0	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-1T	1T	-4T	1T	-2T	1T	-4T	1T	-2T	1T	-1T	1T	-2T	1T	-4T	1T	-1T	190T			
