类型	1#	2#	3#	4#	5#	6#	7#	8#	9#	10#	11#	12#	13#	14#	15#	16#	17#	18#	19#	20#	21#	22#	23#	24#
面板心跳波形	-2	1	-1	1	-1	1	-1	2	-9	1	-9	1	-2	2	-1	1	-1	1	-1					
关机请求波形	-2	1	-1	1	-1	1	-1	2	-7	1	-1	1	-9	1	-2	2	-1	1	-3					
照明请求波形	-2	1	-1	1	-1	1	-1	2	-1	1	-7	1	-9	1	-1	1	-1	1	-1	1	-1	1	-1	
小夜灯请求波形	-2	1	-1	1	-1	1	-1	2	-2	1	-6	1	-9	1	-3	1	-1	1	-1	1	-1			
吹风请求波形	-2	1	-1	1	-1	1	-1	2	-6	1	-2	1	-9	1	-2	2	-1	2	-2					
换气请求波形	-2	1	-1	1	-1	1	-1	2	-5	1	-3	1	-9	1	-2	2	-3	1	-1					
风暖1请求波形	-2	1	-1	1	-1	1	-1	2	-4	1	-4	1	-9	1	-2	3	-2	1	-1					
沐浴请求波形	-2	1	-1	1	-1	1	-1	2	-8	2	-9	1	-2	2	-1	1	-1							
风暖2请求波形	-2	1	-1	1	-1	1	-1	2	-4	1	-4	1	-9	1	-2	3	-2	1	-1					
沐浴请求波形	-2	1	-1	1	-1	1	-1	2	-8	2	-9	1	-2	2	-1	1	-1							
风暖摆风请求波形	-2	1	-1	1	-1	1	-1	2	-3	1	-5	1	-9	1	-2	1	-2	1	-1	1	-1			
干燥摆风请求波形	-2	1	-1	1	-1	1	-1	2	-3	1	-5	1	-9	1	-2	1	-2	1	-1	1	-1			
吹风摆风请求波形	-2	1	-1	1	-1	1	-1	2	-3	1	-5	1	-9	1	-2	1	-2	1	-1	1	-1			
沐浴摆风请求波形	-2	1	-1	1	-1	1	-1	2	-3	1	-5	1	-9	1	-2	1	-2	1	-1	1	-1			
干燥摆风请求波形	-2	1	-1	1	-1	1	-1	2	-3	1	-5	1	-9	1	-2	1	-2	1	-1	1	-1			
